nrInst,nrAgencia,cdClient,nmClient,nrCpfCnpj,nrContrato,dtContrato,qtPrestacoes,vlTotal,cdProduto,dsProduto,cdCarteira,dsCarteira,nrProposta,nrPresta,tpPresta,nrSeqPre,dtVctPre,vlPresta,vlMora,vlMulta,vlOutAcr,vlIof,vlDescon,vlAtual,idSituac,idSitVen
101,12,10001,CLIENTE 1,12345678909,10001,20240101,5,5000,100,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10001,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
102,14,10002,CLIENTE 2,98765432100,10002,20240101,4,4000,101,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10002,1,Original,0,20240201,1100,0,0,0,0,0,1100,Aberta,Paga
103,16,10003,CLIENTE 3,11222333000181,10003,20240101,3,3000,102,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10003,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
104,18,10004,CLIENTE 4,12345678900,10004,20240101,2,2000,103,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10004,1,Original,0,20240201,1050,0,0,0,0,0,1050,Aberta,Vencida
105,20,10005,CLIENTE 5,11111111111,10005,20240101,4,8000,104,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10005,1,Original,0,20240201,2000,0,0,0,0,0,2000,Aberta,Paga
106,22,10006,CLIENTE 6,33344455566,10006,20240101,4,4000,105,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10006,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
107,24,10007,CLIENTE 7,12345678909234,10007,20240101,3,3000,106,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10007,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
108,26,10008,CLIENTE 8,12345678000195,10008,20240101,5,10000,107,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10008,1,Original,0,20240201,2500,0,0,0,0,0,2500,Aberta,Paga
109,28,10009,CLIENTE 9,12345678909,10009,20240101,6,6000,108,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10009,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
110,30,10010,CLIENTE 10,00000000000000,10010,20240101,4,4000,109,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10010,1,Original,0,20240201,1200,0,0,0,0,0,1200,Aberta,Paga
111,32,10011,CLIENTE 11,12345678901,10011,20240101,5,5000,110,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10011,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
112,34,10012,CLIENTE 12,23456789012,10012,20240101,4,4000,111,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10012,1,Original,0,20240201,1100,0,0,0,0,0,1100,Aberta,Paga
113,36,10013,CLIENTE 13,34567890123,10013,20240101,3,3000,112,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10013,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
114,38,10014,CLIENTE 14,45678901234,10014,20240101,2,2000,113,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10014,1,Original,0,20240201,1050,0,0,0,0,0,1050,Aberta,Vencida
115,40,10015,CLIENTE 15,56789012345,10015,20240101,4,8000,114,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10015,1,Original,0,20240201,2000,0,0,0,0,0,2000,Aberta,Paga
116,42,10016,CLIENTE 16,67890123456,10016,20240101,4,4000,115,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10016,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
117,44,10017,CLIENTE 17,78901234567,10017,20240101,3,3000,116,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10017,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
118,46,10018,CLIENTE 18,89012345678,10018,20240101,5,10000,117,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10018,1,Original,0,20240201,2500,0,0,0,0,0,2500,Aberta,Paga
119,48,10019,CLIENTE 19,90123456789,10019,20240101,6,6000,118,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10019,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
120,50,10020,CLIENTE 20,01234567890,10020,20240101,4,4000,119,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10020,1,Original,0,20240201,1200,0,0,0,0,0,1200,Aberta,Paga
101,12,10001,CLIENTE 21,12345678909,10001,20240101,5,5000,100,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10001,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
102,14,10002,CLIENTE 22,98765432100,10002,20240101,4,4000,101,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10002,1,Original,0,20240201,1100,0,0,0,0,0,1100,Aberta,Paga
103,16,10003,CLIENTE 23,11222333000181,10003,20240101,3,3000,102,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10003,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
104,18,10004,CLIENTE 24,12345678900,10004,20240101,2,2000,103,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10004,1,Original,0,20240201,1050,0,0,0,0,0,1050,Aberta,Vencida
105,20,10005,CLIENTE 25,11111111111,10005,20240101,4,8000,104,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10005,1,Original,0,20240201,2000,0,0,0,0,0,2000,Aberta,Paga
106,22,10006,CLIENTE 26,33344455566,10006,20240101,4,4000,105,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10006,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
107,24,10007,CLIENTE 27,12345678909234,10007,20240101,3,3000,106,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10007,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
108,26,10008,CLIENTE 28,12345678000195,10008,20240101,5,10000,107,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10008,1,Original,0,20240201,2500,0,0,0,0,0,2500,Aberta,Paga
109,28,10009,CLIENTE 29,12345678909,10009,20240101,6,6000,108,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10009,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
110,30,10010,CLIENTE 30,00000000000000,10010,20240101,4,4000,109,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10010,1,Original,0,20240201,1200,0,0,0,0,0,1200,Aberta,Paga
111,32,10011,CLIENTE 31,12345678901,10011,20240101,5,5000,110,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10011,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
112,34,10012,CLIENTE 32,23456789012,10012,20240101,4,4000,111,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10012,1,Original,0,20240201,1100,0,0,0,0,0,1100,Aberta,Paga
113,36,10013,CLIENTE 33,34567890123,10013,20240101,3,3000,112,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10013,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
114,38,10014,CLIENTE 34,45678901234,10014,20240101,2,2000,113,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10014,1,Original,0,20240201,1050,0,0,0,0,0,1050,Aberta,Vencida
115,40,10015,CLIENTE 35,56789012345,10015,20240101,4,8000,114,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10015,1,Original,0,20240201,2000,0,0,0,0,0,2000,Aberta,Paga
116,42,10016,CLIENTE 36,67890123456,10016,20240101,4,4000,115,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10016,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Paga
117,44,10017,CLIENTE 37,78901234567,10017,20240101,3,3000,116,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10017,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
118,46,10018,CLIENTE 38,89012345678,10018,20240101,5,10000,117,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10018,1,Original,0,20240201,2500,0,0,0,0,0,2500,Aberta,Paga
119,48,10019,CLIENTE 39,90123456789,10019,20240101,6,6000,118,CDC PESSOA FÍSICA,1,CRÉDITO PESSOAL,10019,1,Original,0,20240201,1000,0,0,0,0,0,1000,Aberta,Vencida
120,50,10020,CLIENTE 40,01234567890,10020,20240101,4,4000,119,CDC PESSOA JURÍDICA,2,CRÉDITO EMPRESARIAL,10020,1,Original,0,20240201,1200,0,0,0,0,0,1200,Aberta,Paga
